DateTime vs Times   pap
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

         Date/Time                Value 1.           Value 2.
           (UTC)                   (sec)               (m)
   03/18/2012 09:44:20.671     487.858999812   -2082.288121980
   03/18/2012 11:23:13.667     487.667999917   -1478.545894540
   03/18/2012 13:02:06.656     487.481000077   -3176.610730256
   03/18/2012 14:40:59.555     487.297999975   -3120.871396381
   03/18/2012 16:19:52.458     487.108999793   -2383.337158726
   03/18/2012 17:58:45.415     486.915999872   -1719.474676660
   03/18/2012 19:37:38.363     486.700000113   -2229.510968767
   03/18/2012 21:16:31.433     486.536000110   -3295.822269823
   03/18/2012 22:55:24.427     486.354000180   -2758.930371688
   03/19/2012 00:34:17.373     486.163999827   -2077.249999633
   03/19/2012 02:13:10.317     485.969999735   -1504.170220809
   03/19/2012 03:52:03.283     485.785000236   -3197.688714728
   03/19/2012 05:30:56.234     485.597000225   -3102.843587653
   03/19/2012 07:09:49.247     485.408000043   -2372.923673502
   03/19/2012 08:48:42.326     485.215999978   -1718.320465783
   03/19/2012 10:27:35.344     484.999999905   -2281.233113142
   03/19/2012 12:06:28.367     484.839000099   -3289.416864626
   03/19/2012 13:45:21.278     484.658000025   -2744.125761716
   03/19/2012 15:24:14.163     484.463000076   -2074.402146972
   03/19/2012 17:03:07.105     484.268999984   -1534.068499645
   03/19/2012 18:42:00.090     484.083000000   -3215.959932360
   03/19/2012 20:20:53.071     483.898000186   -3084.404806139
   03/19/2012 21:59:46.076     483.711000031   -2361.575750761
   03/19/2012 23:38:39.045     483.518000110   -1712.858209829
   03/20/2012 01:17:32.002     483.300000010   -2492.972780302
   03/20/2012 02:56:24.977     483.144000114   -3277.861190957
   03/20/2012 04:35:17.886     482.956999959   -2720.809146048
   03/20/2012 06:14:10.859     482.762999868   -2067.444021746
   03/20/2012 07:53:03.924     482.569000090   -1558.795197696
   03/20/2012 09:31:57.031     482.383999962   -3226.518269841
   03/20/2012 11:10:50.029     482.202000031   -3066.358999847
   03/20/2012 12:49:42.960     482.014999876   -2352.484238115
   03/20/2012 14:28:35.845     481.823999982   -1709.666666608
   03/20/2012 16:07:28.825     481.676999736   -2302.294860920
   03/20/2012 17:46:22.003     481.686000014   -3022.053819588
   03/20/2012 19:25:15.129     481.710000022   -2455.775337954
   03/20/2012 21:04:08.336     481.727000093   -1808.758668307
   03/20/2012 22:43:01.543     481.742999994   -1332.341849498
   03/21/2012 00:21:54.759     481.769000029   -2995.306954436
   03/21/2012 02:00:47.912     481.795000064   -2800.356005685
   03/21/2012 03:39:41.017     481.818000216   -2085.879233518
   03/21/2012 05:18:34.151     481.836000143   -1445.535406991
   03/21/2012 06:57:27.413     481.867000088   -2342.355711537
   03/21/2012 08:36:20.707     481.876999908   -3015.871905291
   03/21/2012 10:15:13.920     481.904000114   -2437.247703297
   03/21/2012 11:54:07.089     481.920999871   -1791.849563851
   03/21/2012 13:33:00.209     481.936999771   -1351.853337300
   03/21/2012 15:11:53.354     481.961999950   -3011.407985429
   03/21/2012 16:50:46.487     481.989000156   -2786.307793537
   03/21/2012 18:29:39.623     482.010000281   -2068.589347805
   03/21/2012 20:08:32.791     482.029000064   -1426.175063844
   03/21/2012 21:47:26.059     482.058999839   -2376.968515342
   03/21/2012 23:26:19.243     482.070000144   -3004.867868106
   03/22/2012 01:05:12.390     482.097000035   -2412.228830686
   03/22/2012 02:44:05.510     482.114999963   -1765.082730192
   03/22/2012 04:22:58.628     482.129000151   -1370.723017138
   03/22/2012 06:01:51.853     482.154000015   -3021.444152167
   03/22/2012 07:40:45.110     482.178999879   -2763.428869805
   03/22/2012 09:19:38.372     482.203000202   -2045.178087737
   03/22/2012 10:58:31.573     482.226000039   -1287.379077811
   03/22/2012 12:37:24.775     482.254999958   -2407.587883943
   03/22/2012 14:16:17.881     482.267999975   -2993.980706226
   03/22/2012 15:55:10.977     482.291999983   -2388.753406692
   03/22/2012 17:34:04.131     482.311000081   -1742.700183850
   03/22/2012 19:12:57.250     482.322000072   -1390.603656119
   03/22/2012 20:51:50.501     482.347999793   -3027.197797725
   03/22/2012 22:30:43.708     482.375999854   -2739.772552260
   03/23/2012 00:09:36.865     482.399000006   -2021.337517863
   03/23/2012 01:48:30.010     482.420999988   -1264.515566067
   03/23/2012 03:27:23.170     482.451000076   -2447.347595054
   03/23/2012 05:06:16.299     482.462999923   -2980.902588911
   03/23/2012 06:45:09.491     482.485000219   -2364.023465170
   03/23/2012 08:24:02.760     482.504000003   -1718.936749259
   03/23/2012 10:02:55.980     482.517000020   -1410.867034987
   03/23/2012 11:41:49.208     482.545999938   -3034.555986387
   03/23/2012 13:20:42.323     482.574000000   -2721.451238833
   03/23/2012 14:59:35.397     482.597000152   -2000.269933816
   03/23/2012 16:38:28.505     482.617999963   -1248.160147447
   03/23/2012 18:17:21.703     482.643000141   -2484.419099876
   03/23/2012 19:56:14.863     482.658000186   -2966.941220726
   03/23/2012 21:35:08.070     482.683000050   -2336.710574901
   03/23/2012 23:14:01.235     482.701999834   -1689.694002374
   03/24/2012 00:52:54.381     482.712999824   -1436.186009241
   03/24/2012 02:31:47.560     482.742999913   -3038.120032815
   03/24/2012 04:10:40.667     482.769999804   -2691.608409876
   03/24/2012 05:49:33.814     482.790999929   -1972.636986266
   03/24/2012 07:28:27.045     482.810999884   -1224.936936112
   03/24/2012 09:07:20.367     482.837999775   -2511.290319541
   03/24/2012 10:46:13.575     482.853999990   -2949.366928554
   03/24/2012 12:25:06.720     482.880999881   -2309.649017047
   03/24/2012 14:03:59.812     482.899999979   -1661.789030714
   03/24/2012 15:42:52.906     482.908000087   -1461.299528389
   03/24/2012 17:21:46.108     482.937999861   -3040.239184147
   03/24/2012 19:00:39.218     482.965999923   -2666.672694660
   03/24/2012 20:39:32.391     482.984000165   -1976.186318365
   03/24/2012 22:18:25.589     483.009000029   -1202.532675078
   03/24/2012 23:57:18.805     483.035999921   -2543.201965332
   03/25/2012 01:36:11.954     483.053999848   -2930.504650384
   03/25/2012 03:15:05.052     483.077999856   -2277.027191170
   03/25/2012 04:53:58.154     483.095000242   -1629.776459818
   03/25/2012 06:32:51.342     483.103000035   -1490.015177653
   03/25/2012 08:11:44.659     483.133999980   -3038.979713070
   03/25/2012 09:50:37.881     483.164999925   -2641.024807961
   03/25/2012 11:29:31.046     483.186000050   -1952.889408084
   03/25/2012 13:08:24.160     483.210000058   -1185.453173156
   03/25/2012 14:47:17.285     483.232999896   -2575.620089295
   03/25/2012 16:26:10.387     483.249999967   -2914.410646296
   03/25/2012 18:05:03.525     483.276000002   -2249.720421401
